node_id,lat,lon
653688,34.027025,-118.429548
21300195,34.0273564,-118.428672
1614655105,34.0266252,-118.4305473
653689,34.0286387,-118.4254734
1711811908,34.0287142,-118.4252839
122734100,34.0282126,-118.4265473
1711811906,34.0287797,-118.425599
1615552822,34.0278959,-118.42487
653690,34.0301253,-118.4218408
122734098,34.0297447,-118.4226626
123334943,34.0313083,-118.4238804
122624727,34.027713,-118.4199451
1638050191,34.0306065,-118.4209755
653691,34.0311473,-118.4199794
1613190205,34.0299526,-118.4190345
653693,34.0324443,-118.41759
1614655423,34.0319006,-118.4180986
365355709,34.0315524,-118.4169181
1637749159,34.0333822,-118.4183288
653721,34.0345019,-118.3435465
1613525130,34.0347521,-118.3379415
653731,34.0368014,-118.28685
277327278,34.0376196,-118.2810532
277327337,34.0369174,-118.2831647
653744,34.030077,-118.2572282
348127029,34.0276938,-118.2533157
1614922693,34.0270361,-118.2515045
653766,34.0405274,-118.2189695
317645238,34.0361296,-118.2207768
653772,34.0511029,-118.2139046
269459515,34.0539475,-118.2095284
269459296,34.0556405,-118.2140908
668264,33.9455914,-118.3901991
248112222,33.945391,-118.3901031
444666943,33.945597,-118.3921488
668265,33.9455338,-118.3927322
9958463298,33.9455375,-118.3930614
444666914,33.9450149,-118.3971045
668267,33.9454752,-118.3997773
3657262382,33.9454856,-118.4002156
668268,33.9454038,-118.3975467
26427478,33.9454398,-118.3985286
668269,33.9453581,-118.4022185
122816491,33.9450221,-118.4055797
10552905,34.1214755,-118.2069044
14956558,34.1205984,-118.2071444
18074556,34.1210739,-118.2047699
18410625,34.1218861,-118.2090254
21590117,34.1223592,-118.2066595
10552907,34.1193938,-118.196712
1783734607,34.1202246,-118.1964532
1839530976,34.1183857,-118.19698
19809058,34.1196923,-118.1981368
19809059,34.1191362,-118.1952218
10552909,34.1177445,-118.1872949
21383587,34.1156563,-118.1912396
15849505,34.1181006,-118.1893563
9276692634,34.1176134,-118.1865611
10552912,34.1154773,-118.1843474
1839530949,34.1163747,-118.1836122
601382133,34.1151424,-118.1835043
18364121,34.1146834,-118.1851374
1784164842,34.1159369,-118.1848154
10553872,34.1197069,-118.2073813
18410628,34.1201243,-118.2095165
16696425,34.1188186,-118.207553
18074554,34.1192971,-118.2052658
10553878,34.113121,-118.2079786
10553881,34.114958,-118.210115
122953080,34.1144596,-118.2076361
1669570900,34.112699,-118.2080165
10555065,34.11444,-118.211427
15850830,34.1157158,-118.2117203
1669562609,34.1122075,-118.2147631
1669570913,34.116552,-118.2148735
14956699,34.1137183,-118.2100627
10555091,34.105026,-118.228352
1669510678,34.10431,-118.227516
14956718,34.105516,-118.227014
14962836,34.104875,-118.22929
10559926,34.1022302,-118.23712
1613060211,34.102653,-118.2362659
1669532063,34.1033278,-118.2376158
1669509951,34.0991464,-118.2345694
10559930,34.0867848,-118.2257778
2156883458,34.085997,-118.2257382
18660349,34.0874589,-118.2258642
2156883447,34.0864107,-118.2252993
10683747,34.3200555,-118.4948647
1594973505,34.3136596,-118.4887425
1380793137,34.3172867,-118.4919111
13642118,33.9819175,-118.2904224
123182789,33.9819025,-118.2892342
21098536,33.9822025,-118.2914969
13642119,33.9819241,-118.2879129
1774094827,33.981892,-118.2870557
123710038,33.9821924,-118.287051
13885935,34.0790025,-118.2274504
269595605,34.0831012,-118.2283493
20400087,34.0810016,-118.2250356
14695503,34.0883182,-118.2260967
1669488424,34.0874059,-118.2250205
1613467339,34.0891448,-118.2264433
14697104,34.0838579,-118.2224346
365468271,34.0831143,-118.2234195
1669488407,34.0844991,-118.2231771
14697230,34.0848017,-118.2212083
1614923653,34.0835091,-118.2219724
14697105,34.0825193,-118.2209372
269596961,34.0821576,-118.2206317
1614923445,34.0804426,-118.2222056
21150978,34.0854431,-118.2203539
14697231,34.0864254,-118.2190545
1669488410,34.0858666,-118.2182441
27292000,34.0874371,-118.217712
1669488417,34.0870005,-118.2199071
14697234,34.0945179,-118.2084919
21025760,34.0943404,-118.2086399
21025759,34.0951396,-118.207984
18364097,34.0934382,-118.2065793
14697296,34.1125363,-118.2436129
577421639,34.1144429,-118.2420703
11918952654,34.1112043,-118.2436743
1782812723,34.112986,-118.2439243
14697299,34.1156342,-118.246608
25843043,34.1176829,-118.2440825
1782824119,34.1148877,-118.2458468
1785835449,34.1194224,-118.2503627
14749818,34.1219617,-118.2252643
88438186,34.1218836,-118.2249039
